"","sample_code","sample_type","infected_count","disease","organ","portion","branch","total_count","leaf_incidence","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_soil_sample_CODE","distance_class","log_total_count"
"51","FIC1COF2_Kita","No_CWD_leaves_lower_portion_3rd_branch",0,"CWD","leaves","lower","3rd",12,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.484906649788
"52","FIC1COF2_Kita","No_CWD_leaves_lower_portion_4th_branch",0,"CWD","leaves","lower","4th",52,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.95124371858143
"53","FIC1COF2_Kita","No_CLR_leaves_lower_portion_1st_branch",2,"CLR","leaves","lower","1st",27,0.0740740740740741,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.29583686600433
"54","FIC1COF2_Kita","No_CLR_leaves_lower_portion_2nd_branch",0,"CLR","leaves","lower","2nd",16,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.77258872223978
"55","FIC1COF2_Kita","No_CLR_leaves_lower_portion_3rd_branch",1,"CLR","leaves","lower","3rd",12,0.0833333333333333,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.484906649788
"56","FIC1COF2_Kita","No_CLR_leaves_lower_portion_4th_branch",5,"CLR","leaves","lower","4th",52,0.0961538461538462,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.95124371858143
"57","FIC1COF2_Kita","No_CRBD_leaves_lower_portion_1st_branch",0,"CRBD","leaves","lower","1st",27,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.29583686600433
"58","FIC1COF2_Kita","No_CRBD_leaves_lower_portion_2nd_branch",0,"CRBD","leaves","lower","2nd",16,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.77258872223978
"59","FIC1COF2_Kita","No_CRBD_leaves_lower_portion_3rd_branch",0,"CRBD","leaves","lower","3rd",12,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",2.484906649788
"60","FIC1COF2_Kita","No_CRBD_leaves_lower_portion_4th_branch",0,"CRBD","leaves","lower","4th",52,0,"Fn","Kitagweta","Op2",12,"FIC1_Kita","(8-16]",3.95124371858143
