"","Shade_tree_species","Section_of_Kaweri","sample_code","Coffee_Variety","Actual_distance_from_shade_tree_m","Shade_tree_Canopy_Cover","Shade_tree_soil_sample_CODE","Longitude","Latitude","Longitude_dd","Latitude_dd","distance_class"
"223","Ac","Nonve","ALB15COF1_Nonv","Clone H",3,2.96,"ALB15_Nonv","31° 27′ 42.8″ E","0° 38′ 42.8″ N",31.4618888888889,0.645222222222222,"[0-8]"
"224","Ac","Nonve","ALB15COF2_Nonv","Clone C",10,2.96,"ALB15_Nonv","31° 27′ 42.8″ E","0° 38′ 42.8″ N",31.4618888888889,0.645222222222222,"(8-16]"
"225","Ac","Nonve","ALB15COF3_Nonv","Clone C",20,2.96,"ALB15_Nonv","31° 27′ 42.8″ E","0° 38′ 42.8″ N",31.4618888888889,0.645222222222222,"(16-22]"
"226","Ac","Nonve","ALB16COF1_Nonv","Clone H",5,0.5,"ALB16_Nonv","31° 27′ 44.4″ E","0° 38′ 43.9″ N",31.4623333333333,0.645527777777778,"[0-8]"
"227","Ac","Nonve","ALB16COF2_Nonv","Clone C",10,0.5,"ALB16_Nonv","31° 27′ 44.4″ E","0° 38′ 43.9″ N",31.4623333333333,0.645527777777778,"(8-16]"
"228","Ac","Nonve","ALB16COF3_Nonv","Clone A",20,0.5,"ALB16_Nonv","31° 27′ 44.4″ E","0° 38′ 43.9″ N",31.4623333333333,0.645527777777778,"(16-22]"
"229","Ah","Nonve","JAC9COF1_Nonv","Clone C",5,48.16,"JAC9_Nonv","31° 27′ 41″ E","0° 38′ 43.5″ N",31.4613888888889,0.645416666666667,"[0-8]"
"230","Ah","Nonve","JAC9COF2_Nonv","Clone F",10,48.16,"JAC9_Nonv","31° 27′ 41″ E","0° 38′ 43.5″ N",31.4613888888889,0.645416666666667,"(8-16]"
"231","Ah","Nonve","JAC9COF3_Nonv","Clone B",20,48.16,"JAC9_Nonv","31° 27′ 41″ E","0° 38′ 43.5″ N",31.4613888888889,0.645416666666667,"(16-22]"
"232","Ah","Nonve","JAC10COF1_Nonv","Clone B",5,66.5,"JAC10_Nonv","31° 27′ 44.5″ E","0° 38′ 44.1″ N",31.4623611111111,0.645583333333333,"[0-8]"
"233","Ah","Nonve","JAC10COF2_Nonv","Clone A",10,66.5,"JAC10_Nonv","31° 27′ 44.5″ E","0° 38′ 44.1″ N",31.4623611111111,0.645583333333333,"(8-16]"
"234","Ah","Nonve","JAC10COF3_Nonv","Clone A",22,66.5,"JAC10_Nonv","31° 27′ 44.5″ E","0° 38′ 44.1″ N",31.4623611111111,0.645583333333333,"(16-22]"
"235","Ah","Nonve","JAC11COF1_Nonv","Clone B",5,59.81,"JAC11_Nonv","31° 27′ 44.5″ E","0° 38′ 44.4″ N",31.4623611111111,0.645666666666667,"[0-8]"
"236","Ah","Nonve","JAC11COF2_Nonv","Clone B",10,59.81,"JAC11_Nonv","31° 27′ 44.5″ E","0° 38′ 44.4″ N",31.4623611111111,0.645666666666667,"(8-16]"
